"RawName","Counts","Tissue","VegetativeRepro","AboveBelow","Debatable"
"1-5 days after polination siliques",2,NA,NA,NA,NA
"entire seeds",2,"Seed","Reproductive",NA,NA
"pedicel",2,NA,NA,NA,NA
"pith",2,NA,NA,NA,NA
"shoot-cotyledon",2,"Cotyledon","Vegetative","Above",NA
"leaf primordia",2,"Leaf","Vegetative","Above",NA
"vascular bundle without phloem cap",2,"Vasculature","Vegetative","Above",NA
"Inflorescence axis",2,"Inflorescence","Reproductive","Above",NA
"mature leaf",2,"Leaf","Vegetative","Above",NA
"SAM region and first leaf primordia",2,NA,NA,NA,NA
"epidermis",2,NA,NA,NA,NA
"stamen filament",2,"Stamen","Reproductive","Above",NA
"whole plant 17",1,"WholePlant","WholePlant","WholePlant",NA
"carpel",1,"Carpel","Reproductive","Above",NA
"whole plant 27",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 21",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 22",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 44",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 3",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 37",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 33",1,"WholePlant","WholePlant","WholePlant",NA
"stem node",1,"Shoot","Vegetative","Above",NA
"whole plant 36",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 14",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 18",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 28",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 19",1,"WholePlant","WholePlant","WholePlant",NA
"flower pedicel",1,"Flower","Reproductive","Above",NA
"whole plant 25",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 45",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 12",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 41",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 32",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 6",1,"WholePlant","WholePlant","WholePlant",NA
"unopened flower buds",1,"Flower","Reproductive","Above",NA
"mixed shoot apical meristem, cotyledon and first leaves",1,NA,NA,NA,NA
"stele",1,NA,NA,NA,NA
"whole plant 31",1,"WholePlant","WholePlant","WholePlant",NA
"stem internode",1,"Internode","Vegetative","Above",NA
"whole plant 40",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 24",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 29",1,"WholePlant","WholePlant","WholePlant",NA
"whole above ground seedling",1,"Seedling","WholePlant","WholePlant","Yes"
"whole plant 30",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 39",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 35",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 2",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 15",1,"WholePlant","WholePlant","WholePlant",NA
"fruit valve",1,NA,NA,NA,NA
"whole plant 26",1,"WholePlant","WholePlant","WholePlant",NA
"embryonic/ovule (CLV3-)",1,NA,NA,NA,NA
"basal (= proximal) halves of fully expanded leaves",1,"Leaf","Vegetative","Above",NA
"whole above ground seedling nuclei",1,"Seedling","WholePlant","WholePlant","Yes"
"7DAG seedlings",1,"Seedling","WholePlant","WholePlant",NA
"whole plant 34",1,"WholePlant","WholePlant","WholePlant",NA
"adult vascular leaf",1,"Leaf","Vegetative","Above",NA
"whole plant 23",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 20",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 8",1,"WholePlant","WholePlant","WholePlant",NA
"petiole",1,"Petiole","Vegetative","Above",NA
"whole plant 7",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 1",1,"WholePlant","WholePlant","WholePlant",NA
"Seed",1,"Seed","Reproductive","Seed",NA
"whole plant 4",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 5",1,"WholePlant","WholePlant","WholePlant",NA
"root cap cells",1,NA,NA,NA,NA
"whole plant 13",1,"WholePlant","WholePlant","WholePlant",NA
"leaves and root",1,NA,NA,NA,NA
"whole plant 9",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 38",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 11",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 10",1,"WholePlant","WholePlant","WholePlant",NA
"root and shoot",1,NA,NA,NA,NA
"cortex",1,NA,NA,NA,NA
"whole plant 16",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 43",1,"WholePlant","WholePlant","WholePlant",NA
"whole plant 42",1,"WholePlant","WholePlant","WholePlant",NA
